#,set,project,patch_relpath,subject,relevance_firstpass,port_decision,agent_status,agent_confidence_0_100,agent_comment
1,patches_treble_prerequisite,packages_modules_Bluetooth,packages_modules_Bluetooth/0001-Revert-gd-hci-Allow-disabling-selected-local-command.patch,"Revert ""gd: hci: Allow disabling selected local commands""",UNCERTAIN,PORT (fallback),VERIFIED_HIGH,96,"DROPPED_OBSOLETE confirmed independently. A16 split system/gd/hci/controller.cc into controller_impl.cc and the upstream 'bluetooth.hci.disabled_commands' masking (AOSP 543afb3d) is absent: repo-wide grep for disabled_commands over the pristine baseline returns 0 matches, controller.cc no longer exists, and git log --all --grep finds no such commit. read_local_supported_commands_complete_handler (controller_impl.cc l.364-370) is a bare assignment. The revert has no target and nothing to remove."
2,patches_treble_prerequisite,hardware_lineage_compat,hardware_lineage_compat/0001-Revert-compat-Provide-libprotobuf-cpp-vendorcompat-p.patch,"Revert ""compat: Provide libprotobuf-cpp vendorcompat",UNCERTAIN,PORT (fallback),VERIFIED_HIGH,96,"Provenance clean: original patch sha256 3094728b0879d3bfd3a9d43dd2679454672849f4efbfc11cd411a239c56bb5f8 matches both the canonical L21 stack and PATCH_INDEX.sha256; baseline 9e8811a297036c370f7643813a3c733f6e442d86 equals HEAD of /root/custom_android/lineage23/hardware/lineage/compat (lineage-23.2); candidate artifact sha256 246f3371e729d995c1f74bbe3475bc40b78416dbee6c8e979fba229e93ba8786 matches the porter result. Rebase is minimal and faithful: git show --numstat of the applied commit is '0 44 Android.bp' plus exactly the four binary deletions vndk/v29/{arm,arm64}/libprotobuf-cpp-{full,lite}.so, i.e. precisely the file set that upstream 770258c added (38 Android.bp lines + 4 symlinks at A14; 44 lines + 4 real blobs at A16 after 00c45bb added shared_libs to those two blocks and 3d17b9f rewrote the symlinks as real binaries). Necessity independently confirmed and strengthened: prebuilts/vndk/v28/Android.bp:134,166 define the identical module names with no soong_namespace, that project is pulled in only by the TrebleDroid local manifest (.repo/local_manifests/td-layer.xml:20), vendor/lineage/config/common.mk PRODUCT_SOURCE_ROOT_DIRS does not prune it, and device/phh/treble/base.mk:262 still sets PRODUCT_EXTRA_VNDK_VERSIONS += 28 29 - so the duplicate-Soong-module-name collision the revert clears is real in our A16 TD tree, which also explains why stock LineageOS is unaffected. No fix was needed; the porter's artifact is accepted unchanged. One non-material correction to the porter evidence: prebuilts/vndk/v29 does exist in our tree (TD manifest, platform_prebuilts_vndk_v29 @ android-16.0.0_r2-td); LineageOS imported real blobs because stock LineageOS does not sync it, not because our tree lacks it - the resulting revert is identical either way."
3,patches_treble_prerequisite,frameworks_base,frameworks_base/0001-Squashed-revert-of-LOS-UDFPS-changes.patch,Squashed revert of LOS UDFPS changes,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,93,"Skip re-verified on payload, not filename. All seven files touched by the A14 squashed revert are UDFPS-only (udfps_icon_pressed.png, layout/udfps_view.xml, SystemUI lineage_config.xml UDFPS keys, UdfpsControllerOverlay.kt, UdfpsHelper.kt, UdfpsSurfaceView.java, UdfpsView.kt); none is generic shared code. In the A16 baseline udfps_view.xml and UdfpsView.kt no longer exist and UdfpsHelper/UdfpsSurfaceView were rewritten into UdfpsControllerOverlay/UdfpsTouchOverlay, so the revert has no faithful target; and the C10 has no fingerprint sensor at all, so the LineageOS UDFPS behaviour it reverts is unreachable. The revert existed only as a prerequisite for FOD patches #146/#154/#159, which are skipped as a group."
4,patches_treble_prerequisite,frameworks_base,frameworks_base/0002-Revert-Biometrics-Allow-disabling-of-fingerprint-cle.patch,"Revert ""Biometrics: Allow disabling of fingerprint",OEM/absent-hw,REVIEW (PORT if any doubt),FIXED_VERIFIED_HIGH,92,"Porter DROPPED_OBSOLETE rationale corrected and the patch restored. Fingerprint21.java is indeed deleted at A16 (de-HIDL clean-up 0d94465a0c22, confirmed by git log and ls of hidl/), but the LineageOS logic the patch reverts MIGRATED rather than disappeared: FingerprintProvider.java (aidl/) still declares 'private boolean mCleanup' (l.139), still reads org.lineageos.platform.internal.R.bool.config_cleanupUnusedFingerprints in the constructor (l.212-213) and still gates scheduleInternalCleanup with 'if (!mCleanup) return;' (l.687-689). I re-created the revert at the migrated site; the exported patch removes exactly those three sites and nothing else."
5,patches_treble_prerequisite,frameworks_native,frameworks_native/0001-Revert-surfaceflinger-Allow-ZOrder-override-for-UDFP.patch,"Revert ""surfaceflinger: Allow ZOrder override for UDFPS",OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,95,"Candidate is a genuine git revert of A16 LineageOS commit 9a08231b46 (verified to exist and to be an ancestor of baseline 9a9d8be686), which is the A16 carrier of the A14-reverted 4249f5a0e6. Removes UDFPS_DIM_LAYER_NAME, getUdfpsDimZOrder and the dim-layer branch in OutputLayer::writeOutputDependentGeometryStateToHWC."
6,patches_treble_prerequisite,frameworks_native,frameworks_native/0002-Revert-CompositionEngine-Request-device-composition-.patch,"Revert ""CompositionEngine: Request device composition for",UNCERTAIN,PORT (fallback),VERIFIED_HIGH,95,"Genuine git revert of A16 commit 4ab9fab608 (ancestor of baseline), the A16 carrier of A14-reverted 69fad8aa40; restores the AOSP range-based loop in Output::findLayerRequestingBackgroundComposition and drops the UdfpsExtension include."
7,patches_treble_prerequisite,frameworks_native,frameworks_native/0003-Revert-surfaceflinger-Add-support-for-Udfps-extensio.patch,"Revert ""surfaceflinger: Add support for Udfps extension",OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,94,"Genuine git revert of A16 commit a78f40218e (ancestor of baseline): deletes UdfpsExtension.{h,cpp}, removes the source from libcompositionengine_sources, drops surfaceflinger_udfps_lib and its defaults (A16 soong-config select form resolved cleanly), and restores hwcLayer->setZOrder(z)."
8,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0001-On-Samsung-we-need-to-send-a-hack-message-to-HAL-to-.patch,"On Samsung, we need to send a hack-message to HAL to",OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,96,Clean am; applied hunk in services/sensorservice/SensorDevice.cpp is byte-identical to the A14 original (property-gated setMode(5555) at the top of initializeSensorList plus the properties.h include).
9,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0002-Matching-an-input-with-a-display-uses-uniqueId.patch,Matching an input with a display uses uniqueId,UNCERTAIN,PORT (fallback),VERIFIED_HIGH,93,"Rebased correctly: the three added lines (copy of mIdentifier.location with fallback to mIdentifier.uniqueId) land at the surviving location anchor immediately before the by-port association lookup in InputDevice::configureInternal, after A16 split off a by-descriptor path and renamed the config maps."
10,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0003-unshared_oob-didn-t-exist-in-O-P-so-detect-its-suppo.patch,"unshared_oob didn't exist in O/P, so detect its",UNCERTAIN,PORT (fallback),VERIFIED_HIGH,95,Clean am; single-line change in cmds/installd/migrate_legacy_obb_data.sh identical to the A14 original.
